lng,lat,citycode,csq,ind_code2,ind_code3,ind_code4,employment
117.2202968,39.17314893,1301,1,13,131,1310,36
117.8012997,39.31073495,1202,1,31,314,3140,143
118.6509427,40.60032022,1308,1,8,81,810,46
115.2198909,41.02605972,1307,1,8,81,810,240
115.5299482,38.86143128,1306,1,33,331,3312,384
116.574306,39.10932008,1310,1,36,366,3660,176
117.2202968,39.17314893,1301,1,29,292,2926,64
118.7165124,40.52931338,1308,1,8,81,810,29
114.8937815,40.81118849,1307,1,18,181,1810,222
116.1731605,38.20250294,1309,1,30,303,3039,328
114.5220818,38.04895831,1301,1,33,339,3392,321
115.4446279,39.61611756,1306,1,30,302,3021,332
117.2202968,39.17314893,1306,1,30,302,3021,82
116.395645,39.92998578,1101,1,15,152,1529,123
118.1834506,39.65053092,1302,1,8,81,810,6
116.8638065,38.29761535,1309,1,31,313,3130,61
115.4948102,38.88656455,1306,1,19,192,1922,266
116.3565551,39.93849109,1101,1,23,231,2311,451
116.3119793,39.98836768,1101,1,39,391,3913,534
119.58008,39.93498066,1303,1,30,304,3041,252
116.4147593,39.96417557,1101,1,7,72,720,807
82.0786658,44.91152723,1101,1,27,272,2720,267
114.3373509,30.54107649,1101,1,39,391,3911,2141
116.0827915,40.1806984,1101,1,36,362,3620,246
116.4775263,39.91828056,1101,1,17,171,1713,1021
116.4418166,39.96471122,1101,1,44,443,4430,3226
116.3390708,40.04725088,1101,1,17,177,1772,343
116.6664566,40.101611,1101,1,15,151,1513,444
121.416678,31.31435064,1101,1,16,162,1620,1038
116.4410531,39.88827353,1101,1,39,396,3963,340
116.4580507,39.93077082,1101,1,29,292,2928,226
116.1085653,40.22226524,1101,1,30,302,3021,680
116.3732277,39.88437574,1101,1,39,397,3971,437
116.5036632,39.9806924,1101,1,40,401,4014,426
116.5036968,39.99041531,1101,1,44,443,4430,807
116.4687894,39.8948083,1101,1,35,354,3542,820
116.6371855,39.8872525,1101,1,38,383,3831,333
116.3706153,39.88727064,1101,1,23,231,2319,694
116.4600229,39.94836013,1101,1,39,396,3963,780
116.5025238,39.97819278,1101,1,39,392,3921,185
116.2437595,39.84603236,1101,1,34,342,3421,1040
116.3380204,40.04909949,1101,1,40,402,4028,681
116.3564992,39.93337493,1101,1,23,231,2311,494
116.395645,39.92998578,1101,1,39,392,3921,944
116.4718219,39.88160651,1101,1,18,181,1810,512
116.4183873,39.91718416,1101,1,24,243,2438,1121
116.395645,39.92998578,1101,1,40,401,4014,429
116.4510969,39.9599374,1101,1,22,222,2223,159
116.395645,39.92998578,1101,1,25,251,2511,415
116.4503642,39.85091937,1101,1,34,346,3461,811
116.2889874,39.83419883,1101,1,35,354,3544,211
104.7838913,29.35215139,1101,1,38,382,3823,310
116.395645,39.92998578,1101,1,40,403,4030,919
116.395645,39.92998578,1101,1,40,401,4011,324
116.2990467,39.93586858,1101,1,44,443,4430,954
116.4473841,39.85139823,1101,1,37,372,3720,1494
116.405462,39.95771604,1101,1,40,401,4011,150
116.7181834,39.96563238,1101,1,38,382,3829,97
116.1787473,39.91365578,1101,1,8,81,810,16255
116.2255658,39.86561758,1101,1,42,421,4210,263
116.3795329,40.06728483,1101,1,38,382,3829,292
116.4078999,39.87452332,1101,1,21,211,2110,312
116.2368053,40.06157391,1101,1,30,302,3021,1351
116.2694504,39.86677639,1101,1,36,366,3660,1983
116.5403649,39.92553476,1101,1,30,303,3035,165
116.3495649,39.83542093,1101,1,29,292,2921,535
116.4902182,39.98729683,1101,1,39,396,3962,674
116.1245907,39.90537576,1101,1,38,385,3855,414
116.3750688,39.91122313,1101,1,23,231,2311,1188
